scientific_name,directive,annex,priority,listing_type,gbif_usage_key,gbif_species_key,match_type,matched_rank,kingdom,class,genus,alternative_name,source_celex,verbatim_entry
Micropyropsis tuberosa,Habitats,II,FALSE,taxon,4145890,11098873,EXACT,SPECIES,Plantae,Liliopsida,Lolium,,01992L0043-20130701,Micropyropsis tuberosa
Microtus cabrerae,Habitats,II,FALSE,taxon,2438668,2438668,EXACT,SPECIES,Animalia,Mammalia,Microtus,,01992L0043-20130701,Microtus cabrerae
Microtus oeconomus arenicola,Habitats,II,TRUE,taxon,4409203,2438635,EXACT,SUBSPECIES,Animalia,Mammalia,Microtus,,01992L0043-20130701,* Microtus oeconomus arenicola
Microtus oeconomus mehelyi,Habitats,II,TRUE,taxon,4409202,2438635,EXACT,SUBSPECIES,Animalia,Mammalia,Microtus,,01992L0043-20130701,* Microtus oeconomus mehelyi
Microtus tatricus,Habitats,II,FALSE,taxon,2438637,2438637,EXACT,SPECIES,Animalia,Mammalia,Microtus,,01992L0043-20130701,Microtus tatricus
Miniopterus schreibersii,Habitats,II,FALSE,taxon,9796816,9796816,EXACT,SPECIES,Animalia,Mammalia,Miniopterus,,01992L0043-20130701,Miniopterus schreibersii
Minuartia smejkalii,Habitats,II,TRUE,taxon,3811167,8074997,EXACT,SPECIES,Plantae,Magnoliopsida,Sabulina,,01992L0043-20130701,* Minuartia smejkalii
Misgurnus fossilis,Habitats,II,FALSE,taxon,2367936,2367936,EXACT,SPECIES,Animalia,,Misgurnus,,01992L0043-20130701,Misgurnus fossilis
Moehringia jankae,Habitats,II,FALSE,taxon,3810415,3810415,EXACT,SPECIES,Plantae,Magnoliopsida,Moehringia,,01992L0043-20130701,Moehringia jankae
Moehringia lateriflora,Habitats,II,FALSE,taxon,3085371,3085371,EXACT,SPECIES,Plantae,Magnoliopsida,Moehringia,,01992L0043-20130701,Moehringia lateriflora
Moehringia tommasinii,Habitats,II,FALSE,taxon,3810117,3810117,EXACT,SPECIES,Plantae,Magnoliopsida,Moehringia,,01992L0043-20130701,Moehringia tommasinii
Moehringia villosa,Habitats,II,FALSE,taxon,3810093,3810093,EXACT,SPECIES,Plantae,Magnoliopsida,Moehringia,,01992L0043-20130701,Moehringia villosa
