datasetKey,datasetTitle,datasetDOI,datasetLicense,publisherKey,publisher
882161ab-5a7a-4206-b757-3f3383f4f363,Griffon Vulture movement on the Balkans,10.15468/k68juc,http://creativecommons.org/licenses/by/4.0/legalcode,6ec477c4-baf2-4cce-a767-99dece981906,Fund for Wild Flora and Fauna
88e57c5d-3a21-4a48-a178-0fb4bb439978,"Corythucha arcuata (Say, 1832) (Hemiptera, Tingidae) an invasive pest, with a review of the recent invasion of alien species to Kosovo",10.15468/7w3qks,http://creativecommons.org/publicdomain/zero/1.0/legalcode,7ce8aef0-9e92-11dc-8738-b8a03c50a862,Plazi.org taxonomic treatments database
4929bf85-a058-4f58-a133-4250ef0b5e1c,"Description of a new Eratigena Bolzern, Burckhardt & Hänggi, 2013 (Arachnida: Araneae: Agelenidae) from the Balkans based on an integrative approach",10.15468/fr374c,http://creativecommons.org/publicdomain/zero/1.0/legalcode,7ce8aef0-9e92-11dc-8738-b8a03c50a862,Plazi.org taxonomic treatments database
7a3679ef-5582-4aaa-81f0-8c2545cafc81,Pl@ntNet observations,10.15468/gtebaa,http://creativecommons.org/licenses/by/4.0/legalcode,da86174a-a605-43a4-a5e8-53d484152cd3,Pl@ntNet
4edd9396-59df-4b01-9e29-dc21a59f9963,University of British Columbia Herbarium (UBC) - Bryophytes Collection,10.5886/5rr9fbb6,http://creativecommons.org/publicdomain/zero/1.0/legalcode,b542788f-0dc2-4a2b-b652-fceced449591,University of British Columbia
3ccfe992-043a-4fff-951d-1e6e158854da,Mammal records for Europe via the iMammalia app,10.15468/a8ngn5,http://creativecommons.org/licenses/by/4.0/legalcode,0c392aa0-a452-4254-be5c-e49dd60e9b02,Biological Records Centre
d74890a5-0979-4413-8914-a587e4ece7e7,University of Tartu Natural History Museum and Botanical Garden  DNA and Environmental Sample Collections,10.15468/ed3ukm,http://creativecommons.org/licenses/by/4.0/legalcode,cc483d69-50e9-4463-8eb6-41fc459fa485,"University of Tartu, Natural History Museum and Botanical Garden"
c01ca253-97ad-4cdf-85f2-d0c00c34bc8e,"Tinodes lumbardhi sp. nov. (Trichoptera, Psychomyiidae), a new species from the Lumbardhi i Deçanit River in Kosovo",10.3897/bdj.13.e143104,http://creativecommons.org/licenses/by/4.0/legalcode,750a8724-fa66-4c27-b645-bd58ac5ee010,Biodiversity Data Journal
85714c48-f762-11e1-a439-00145eb45e9a,"Herbarium Berolinense, Berlin (B)",10.15468/dlwwhz,http://creativecommons.org/publicdomain/zero/1.0/legalcode,57254bd0-8256-11d8-b7ed-b8a03c50a862,Botanic Garden and Botanical Museum Berlin
5830fa3c-497c-4d37-b771-bd6c84997f2c,Steiermärkisches Landesmuseum Joanneum - Herbarium GJO,10.15468/dmdck6,http://creativecommons.org/licenses/by/4.0/legalcode,32ceedc0-bafb-11d9-8e53-b8a03c50a862,Steiermärkisches Landesmuseum Joanneum - Herbarium GJO
f5150949-32df-475a-8365-2b34584b474b,Podujeva WWTP Project Biodiversity Survey Results,10.15468/zrdxaj,http://creativecommons.org/licenses/by/4.0/legalcode,1b0c957e-9bb8-49f4-9067-1a235998a8e1,ENOVA d.o.o. Sarajevo
9d44512b-1bc3-47e9-b186-73b2aff9f38e,Small mammals of Yugoslavia 1992 atlas,10.15468/7cpnhn,http://creativecommons.org/licenses/by/4.0/legalcode,826e5964-1925-48e4-a839-f4b418e75260,"National Museum of Natural History, Bulgarian Academy of Sciences"
c7873abd-0b32-46c4-be78-52abd1d82b54,"Description of Mesophylax isly sp. nov. (Trichoptera, Limnephilidae) from Morocco, and new genus records from the Balkans",10.15468/xcpg45,http://creativecommons.org/publicdomain/zero/1.0/legalcode,7ce8aef0-9e92-11dc-8738-b8a03c50a862,Plazi.org taxonomic treatments database
1fef1ead-3d02-495e-8ff1-6aeb01123408,Mosquito Alert Dataset,10.15470/t5a1os,http://creativecommons.org/publicdomain/zero/1.0/legalcode,7f7b1e09-01e5-4eb3-8dc0-6a3a6bea9a5c,CREAF - Centre de Recerca Ecològica i Aplicacions Forestals
f778a6eb-aac6-430e-889c-9d9b4e328747,"Potamophylax kosovaensis sp. nov. (Trichoptera, Limnephilidae), a new species of the Potamophylax winneguthi species cluster from the Ibër River Basin in Kosovo",10.3897/bdj.12.e121454,http://creativecommons.org/licenses/by/4.0/legalcode,750a8724-fa66-4c27-b645-bd58ac5ee010,Biodiversity Data Journal
0d1f9cee-7cb7-4d3a-a8c4-d2ca6edcd23b,NHMD Vascular Plants Collection,10.15468/4zygkn,http://creativecommons.org/licenses/by/4.0/legalcode,2e7df380-8356-4533-bcb3-5459e23c794e,Natural History Museum of Denmark
4eb20c92-816d-4a89-bf2a-484791f2966d,"Cochlostoma Jan, 1830 revised: an overview of the subgenus Turritus Westerlund, 1883 and its species (Caenogastropoda, Cochlostomatidae)",10.15468/ga434d,http://creativecommons.org/publicdomain/zero/1.0/legalcode,a064f300-1bc8-41ea-9364-b864ef4e8938,European Journal of Taxonomy
7e380070-f762-11e1-a439-00145eb45e9a,Natural History Museum (London) Collection Specimens,10.5519/qd.20dz6blc,http://creativecommons.org/publicdomain/zero/1.0/legalcode,19456090-b49a-11d8-abeb-b8a03c50a862,Natural History Museum
ecce3417-d4fd-4fab-9009-09ad3f3f62b3,Xeno-canto - Orthoptera sounds from around the world,10.15468/76yp6j,http://creativecommons.org/licenses/by-nc/4.0/legalcode,1f00d75c-f6fc-4224-a595-975e82d7689c,Xeno-canto Foundation for Nature Sounds
064508e2-255e-4d82-9f13-05d73476cc03,United Herbaria of the University and ETH Zurich,10.15468/tjvqci,http://creativecommons.org/licenses/by/4.0/legalcode,605e7170-1123-11d9-8433-b8a03c50a862,United Herbaria of the University and ETH Zurich (Z+ZT)
f5783452-6ff5-4bef-8f30-9adfeba81bd7,Paleontological Research Institution Collections,10.15468/gcs4df,http://creativecommons.org/publicdomain/zero/1.0/legalcode,cc17c672-0c7d-492f-9252-c7ddacd1df78,Paleontological Research Institution
ecafe5de-e81e-4766-848d-326fafd87876,Herbarium UGDA - Vascular Plants Collection,10.15468/6hrs5u,http://creativecommons.org/licenses/by/4.0/legalcode,e3f07310-a215-11da-beae-b8a03c50a862,University of Gdańsk
a004778c-d113-479e-a77f-990041283a51,Santa Barbara Museum of Natural History - Invertebrate Zoology,10.15468/e8txdn,http://creativecommons.org/licenses/by-nc/4.0/legalcode,78678140-1815-11da-9544-b8a03c50a862,Santa Barbara Museum of Natural History
